Gene_stable_ID	Gene_name	Gene_description	Gene_type	Chromosome.scaffold_name	Gene_start_.bp.	Gene_end_.bp.	Strand	Transcript_stable_ID	Transcript_start_.bp.	Transcript_end_.bp.	NCBI_gene_ID	RefSeq_ID	GO_term_name
WBGene00000017	abf-6	AntiBacterial_Factor_related	protein_coding	X	12794177	12794873	+	T22H6.7	12794177	12794873	181418	NM_171787	?
WBGene00000018	abl-1	Tyrosine-protein_kinase_abl-1	protein_coding	X	10605832	10624185	-	M79.1a;M79.1b;M79.1c	10605832	10624185;10624146;10613990	181261	NM_077377;NM_077376;NM_077378	ATP_binding;cytoplasm;non-membrane_spanning_protein_tyrosine_kinase_activity;innate_immune_response;regulation_of_cell_proliferation;defense_response_to_fungus;defense_response_to_Gram-negative_bacterium;spermatogenesis;cell_differentiation;negative_regulation_of_engulfment_of_apoptotic_cell;DNA_damage_checkpoint;negative_regulation_of_DNA_damage_response,_signal_transduction_by_p53_class_mediator;negative_regulation_of_apoptotic_process;transmembrane_receptor_protein_tyrosine_kinase_signaling_pathway;negative_regulation_of_cell_migration;extrinsic_component_of_cytoplasmic_side_of_plasma_membrane;response_to_ionizing_radiation;peptidyl-tyrosine_autophosphorylation;membrane;plasma_membrane;protein_kinase_activity;protein_phosphorylation;kinase_activity;phosphorylation;nucleotide_binding;transferase_activity;protein_tyrosine_kinase_activity;receptor_binding;protein_binding
WBGene00000020	abt-2	ABC_Transporter_family	protein_coding	I	2255923	2272866	-	F12B6.1a;F12B6.1b	2255923	2272866;2272755	171782	NM_001306432;NM_058548	integral_component_of_membrane;ATP_binding;ATPase_activity,_coupled_to_transmembrane_movement_of_substances;lipid_transport;intracellular_membrane-bounded_organelle;membrane;transport;nucleotide_binding;transporter_activity;ATPase_activity;transmembrane_transport
WBGene00000022	abt-4	ABC_Transporter_family	protein_coding	V	323777	330727	-	Y39D8C.1	323777	330727	178559	NM_070774	integral_component_of_membrane;ATP_binding;ATPase_activity,_coupled_to_transmembrane_movement_of_substances;lipid_transport;intracellular_membrane-bounded_organelle;membrane;transport;nucleotide_binding;transporter_activity;ATPase_activity;transmembrane_transport
WBGene00000035	ace-1	Acetylcholinesterase_1	protein_coding	X	16367229	16373782	+	W09B12.1.1;W09B12.1.2	16367293;16367229	16373305;16373782	181706	NM_078259	cell;identical_protein_binding;extracellular_space;plasma_membrane;extracellular_region;membrane;cell_junction;regulation_of_locomotion;synaptic_cleft;acetylcholine_catabolic_process_in_synaptic_cleft;acetylcholine_catabolic_process;acetylcholinesterase_activity;synapse;hydrolase_activity;cholinesterase_activity;carboxylic_ester_hydrolase_activity;neurotransmitter_catabolic_process
WBGene00000039	acn-1	Inactive_angiotensin-converting_enzyme-related_protein	protein_coding	X	5092281	5097067	-	C42D8.5a;C42D8.5b	5092281	5097067	180780	NM_001029282	membrane;ecdysis,_collagen_and_cuticulin-based_cuticle;nematode_male_tail_tip_morphogenesis;cellular_component;plasma_membrane_fusion
WBGene00000040	aco-1	Probable_cytoplasmic_aconitate_hydratase	protein_coding	X	11339874	11343568	+	ZK455.1	11339874	11343568	181324	NM_077497	metal_ion_binding;tricarboxylic_acid_cycle;cytosol;4_iron,_4_sulfur_cluster_binding;tricarboxylic_acid_metabolic_process;cellular_iron_ion_homeostasis;aconitate_hydratase_activity;cytoplasm;metabolic_process;lyase_activity;iron-sulfur_cluster_binding
WBGene00000041	aco-2	Probable_aconitate_hydratase,_mitochondrial	protein_coding	III	7973717	7977325	+	F54H12.1a;F54H12.1b;F54H12.1c.1;F54H12.1c.2	7973717;7973725;7974605;7974563	7977325	176121	NM_171200;NM_066337;NM_171885	metal_ion_binding;mitochondrion;tricarboxylic_acid_cycle;4_iron,_4_sulfur_cluster_binding;aconitate_hydratase_activity;metabolic_process;lyase_activity;iron-sulfur_cluster_binding
WBGene00000043	acr-3	Acetylcholine_receptor_subunit_beta-type_acr-3	protein_coding	X	6709538	6712926	+	K11G12.7	6709538	6712926	180937	NM_076728	intracellular;cell_junction;postsynaptic_membrane;chemical_synaptic_transmission,_postsynaptic;synaptic_transmission,_cholinergic;calcium_ion_import_across_plasma_membrane;acetylcholine-gated_channel_complex;inorganic_cation_transmembrane_transport;neuromuscular_synaptic_transmission;response_to_nicotine;membrane;integral_component_of_membrane;extracellular_ligand-gated_ion_channel_activity;transport;ion_transport;plasma_membrane;synapse;ion_channel_activity;acetylcholine-gated_cation-selective_channel_activity;regulation_of_postsynaptic_membrane_potential;excitatory_postsynaptic_potential
WBGene00000046	acr-7	Acetylcholine_receptor_subunit_alpha-type_acr-7	protein_coding	II	7845662	7849797	-	T09A5.3	7845662	7849797	174262	NM_063246	extracellular_ligand-gated_ion_channel_activity;cell_junction;postsynaptic_membrane;chemical_synaptic_transmission,_postsynaptic;synaptic_transmission,_cholinergic;cation_transmembrane_transport;acetylcholine-gated_channel_complex;acetylcholine_binding;membrane;integral_component_of_membrane;transport;ion_transport;ion_transmembrane_transport;plasma_membrane;synapse;ion_channel_activity
WBGene00000048	acr-9	AcetylCholine_Receptor	protein_coding	X	13642348	13646898	-	C40C9.2	13642348	13646898	191597	NM_077884	cell_junction;postsynaptic_membrane;chemical_synaptic_transmission,_postsynaptic;synaptic_transmission,_cholinergic;acetylcholine-gated_channel_complex;acetylcholine_binding;membrane;integral_component_of_membrane;extracellular_ligand-gated_ion_channel_activity;transport;ion_transport;ion_transmembrane_transport;plasma_membrane;synapse;ion_channel_activity;acetylcholine-gated_cation-selective_channel_activity;regulation_of_postsynaptic_membrane_potential;excitatory_postsynaptic_potential
WBGene00000050	acr-11	AcetylCholine_Receptor	protein_coding	I	6621628	6624894	-	D2092.3	6621628	6624894	191599	NM_059505	chemical_synaptic_transmission;cell_junction;postsynaptic_membrane;acetylcholine_receptor_activity;synapse;synaptic_transmission,_cholinergic;acetylcholine-gated_channel_complex;acetylcholine_binding;membrane;integral_component_of_membrane;extracellular_ligand-gated_ion_channel_activity;transport;ion_transport;ion_transmembrane_transport;plasma_membrane;ion_channel_activity;acetylcholine-gated_cation-selective_channel_activity;regulation_of_postsynaptic_membrane_potential;excitatory_postsynaptic_potential;signal_transduction
WBGene00000055	acr-16	Acetylcholine_receptor_subunit_alpha-type_acr-16	protein_coding	V	8561216	8564320	+	F25G6.3	8561216	8564320	179235	NM_072806	cell_junction;postsynaptic_membrane;cell_projection;ion_transmembrane_transport;chemical_synaptic_transmission,_postsynaptic;synaptic_transmission,_cholinergic;acetylcholine-gated_channel_complex;acetylcholine_binding;membrane;integral_component_of_membrane;extracellular_ligand-gated_ion_channel_activity;transport;ion_transport;plasma_membrane;synapse;ion_channel_activity;acetylcholine-gated_cation-selective_channel_activity;regulation_of_postsynaptic_membrane_potential;excitatory_postsynaptic_potential
WBGene00000056	acr-17	AcetylCholine_Receptor	protein_coding	V	2608656	2615247	+	F53E10.2a;F53E10.2b	2608656	2614160;2615247	191603	?;NM_001028790	integral_component_of_membrane;extracellular_ligand-gated_ion_channel_activity;membrane;transport;ion_transport;ion_transmembrane_transport;ion_channel_activity;postsynapse;chemical_synaptic_transmission,_postsynaptic;synaptic_transmission,_cholinergic;cation_transmembrane_transport;acetylcholine-gated_channel_complex;acetylcholine_binding
WBGene00000057	acr-18	AcetylCholine_Receptor	protein_coding	V	15551155	15559147	-	F28F8.1	15551155	15559147	191604	NM_074467	extracellular_ligand-gated_ion_channel_activity;postsynapse;chemical_synaptic_transmission,_postsynaptic;synaptic_transmission,_cholinergic;cation_transmembrane_transport;acetylcholine-gated_channel_complex;acetylcholine_binding;membrane;integral_component_of_membrane;transport;ion_transport;ion_transmembrane_transport;ion_channel_activity
WBGene00000058	acr-19	AcetylCholine_Receptor	protein_coding	I	9031274	9036695	-	C31H5.3a;C31H5.3b	9031274	9036695;9034012	191605	NM_060028;NM_001136284	integral_component_of_membrane;cell_junction;postsynaptic_membrane;membrane;extracellular_ligand-gated_ion_channel_activity;transport;ion_transport;ion_transmembrane_transport;plasma_membrane;synapse;ion_channel_activity;acetylcholine-gated_cation-selective_channel_activity;regulation_of_postsynaptic_membrane_potential;excitatory_postsynaptic_potential;chemical_synaptic_transmission,_postsynaptic;synaptic_transmission,_cholinergic;acetylcholine-gated_channel_complex;acetylcholine_binding
WBGene00000059	acr-20	AcetylCholine_Receptor	protein_coding	II	14373831	14377890	-	R06A4.10a;R06A4.10b;R06A4.10c	14373831	14376843;14377890	187632	NM_001027101;NM_001027102;NM_001129155	integral_component_of_membrane;extracellular_ligand-gated_ion_channel_activity;membrane;transport;ion_transport;ion_transmembrane_transport;ion_channel_activity;postsynapse;chemical_synaptic_transmission,_postsynaptic;synaptic_transmission,_cholinergic;cation_transmembrane_transport;acetylcholine-gated_channel_complex;acetylcholine_binding
WBGene00000063	act-1	Actin-1	protein_coding	V	11079167	11082497	+	T04C12.6.1;T04C12.6.2;T04C12.6.3;T04C12.6.4	11081052;11079167;11081039	11082415;11082497	179533;179535	NM_073416;NM_073418	ATP_binding;cytoplasm;embryo_development_ending_in_birth_or_egg_hatching;cytoskeleton;mitotic_cytokinesis;cortical_actin_cytoskeleton_organization;nucleotide_binding;striated_muscle_thin_filament
WBGene00000064	act-2	Actin-2	protein_coding	V	11076737	11078168	-	T04C12.5.1;T04C12.5.2	11076737	11078154;11078168	179534	NM_073417	ATP_binding;cytoplasm;embryo_development_ending_in_birth_or_egg_hatching;locomotion;mitotic_cytokinesis;cell_cortex;actin_filament;cortical_actin_cytoskeleton_organization;meiosis_II_cytokinesis;nucleotide_binding;cytoskeleton
WBGene00000065	act-3	Actin-1	protein_coding	V	11071684	11074498	-	T04C12.4.1;T04C12.4.2;T04C12.4.3	11071684	11073264;11074498;11074494	179533;179535	NM_073416;NM_073418	ATP_binding;cytoplasm;embryo_development_ending_in_birth_or_egg_hatching;cytoskeleton;mitotic_cytokinesis;cortical_actin_cytoskeleton_organization;nucleotide_binding;striated_muscle_thin_filament
WBGene00000066	act-4	Actin-4	protein_coding	X	4960553	4964416	+	M03F4.2a;M03F4.2b.1;M03F4.2b.2;M03F4.2b.3;M03F4.2b.4;M03F4.2b.5;M03F4.2b.6;M03F4.2c	4960553;4960619;4960621;4960648;4961927	4964416	180767	?;NM_076440	ATP_binding;cytoskeleton;striated_muscle_thin_filament;structural_constituent_of_cytoskeleton;actin_cytoskeleton_organization;membrane_raft;nucleotide_binding;cytoplasm
WBGene00000067	act-5	ACTin	protein_coding	III	13604339	13606067	-	T25C8.2.1;T25C8.2.2	13604339	13606066;13606067	176793	NM_067408	ATP_binding;nematode_larval_development;tube_formation;larval_feeding_behavior;positive_regulation_of_eating_behavior;microvillus_assembly;microvillar_actin_bundle;terminal_web;nucleotide_binding
WBGene00000068	acy-1	Adenylyl_CYclase	protein_coding	III	4722212	4730870	+	F17C8.1	4722212	4730870	175622	NM_065569	integral_component_of_membrane;plasma_membrane;chemotaxis;intracellular;nematode_larval_development;positive_regulation_of_locomotion;medium-term_memory;adenylate_cyclase-modulating_G-protein_coupled_receptor_signaling_pathway;adenylate_cyclase_activity;cAMP_biosynthetic_process;sleep;short-term_memory;cell_death;adenylate_cyclase-activating_G-protein_coupled_receptor_signaling_pathway;cAMP-mediated_signaling;adenylate_cyclase-inhibiting_G-protein_coupled_receptor_signaling_pathway;membrane;guanylate_cyclase_activity;phosphorus-oxygen_lyase_activity;cGMP_biosynthetic_process;cyclic_nucleotide_biosynthetic_process;intracellular_signal_transduction;guanylate_cyclase_complex,_soluble;regulation_of_defecation
WBGene00000069	acy-2	Adenylyl_CYclase	protein_coding	V	5976029	5981513	+	C10F3.3	5976029	5981513	191607	NM_072152	integral_component_of_membrane;plasma_membrane;intracellular;nematode_larval_development;nucleotide_binding;adenylate_cyclase-modulating_G-protein_coupled_receptor_signaling_pathway;adenylate_cyclase_activity;cAMP_biosynthetic_process;adenylate_cyclase-activating_G-protein_coupled_receptor_signaling_pathway;cAMP-mediated_signaling;adenylate_cyclase-inhibiting_G-protein_coupled_receptor_signaling_pathway;membrane;guanylate_cyclase_activity;lyase_activity;phosphorus-oxygen_lyase_activity;cGMP_biosynthetic_process;cyclic_nucleotide_biosynthetic_process;intracellular_signal_transduction;guanylate_cyclase_complex,_soluble
WBGene00000070	acy-3	Adenylyl_CYclase	protein_coding	III	3774893	3786640	-	C44F1.5	3774893	3786640	175489	NM_065364	integral_component_of_membrane;plasma_membrane;intracellular;cGMP_biosynthetic_process;guanylate_cyclase_activity;negative_regulation_of_protein_kinase_C_signaling;regulation_of_establishment_of_cell_polarity;adenylate_cyclase-activating_G-protein_coupled_receptor_signaling_pathway;calcium-_and_calmodulin-responsive_adenylate_cyclase_activity;cAMP-mediated_signaling;membrane;phosphorus-oxygen_lyase_activity;cyclic_nucleotide_biosynthetic_process;intracellular_signal_transduction;guanylate_cyclase_complex,_soluble;cAMP_biosynthetic_process
WBGene00000071	acy-4	Adenylyl_CYclase	protein_coding	V	5624723	5630892	-	T01C2.1	5624723	5630892	178949	NM_072085	integral_component_of_membrane;plasma_membrane;intracellular;nucleotide_binding;G-protein_coupled_receptor_signaling_pathway;adenylate_cyclase_activity;cAMP_biosynthetic_process;positive_regulation_of_oocyte_maturation;adenylate_cyclase-activating_G-protein_coupled_receptor_signaling_pathway;cAMP-mediated_signaling;adenylate_cyclase-inhibiting_G-protein_coupled_receptor_signaling_pathway;membrane;guanylate_cyclase_activity;lyase_activity;phosphorus-oxygen_lyase_activity;cGMP_biosynthetic_process;signal_transduction;cyclic_nucleotide_biosynthetic_process;intracellular_signal_transduction;guanylate_cyclase_complex,_soluble
WBGene00000072	add-1	Adducin-related_protein_1	protein_coding	X	4854077	4860036	-	F39C12.2a;F39C12.2b;F39C12.2c;F39C12.2d;F39C12.2e	4854080;4854077;4854084;4854403;4854083	4860036	180760	NM_001029468;NM_001029469;NM_001029470;NM_001029471;NM_001029472	?;cytoplasm;plasma_membrane;cytoskeleton;actin_filament_binding;barbed-end_actin_filament_capping;postsynaptic_density;long-term_memory;short-term_memory;regulation_of_actin_cytoskeleton_reorganization;receptor_localization_to_synapse;memory;membrane;actin_binding
WBGene00000073	add-2	Adducin-related_protein_2	protein_coding	V	12009551	12013605	-	F57F5.4a.1;F57F5.4a.2;F57F5.4b	12009551	12013536;12013605;12011765	179647	NM_001047665;NM_001047666	cytoplasm;plasma_membrane;cytoskeleton;membrane;actin_binding
WBGene00000074	adm-2	ADAM_(disintegrin_plus_metalloprotease)_family	protein_coding	X	13687973	13695791	+	C04A11.4	13687973	13695791	181489	NM_077890	integral_component_of_membrane;metalloendopeptidase_activity;integrin-mediated_signaling_pathway;membrane;metal_ion_binding;peptidase_activity;metallopeptidase_activity;proteolysis
WBGene00000075	adm-4	ADAM_(disintegrin_plus_metalloprotease)_family	protein_coding	X	7795044	7798287	-	ZK154.7	7795044	7798287	181041	NM_076917	integral_component_of_membrane;metalloendopeptidase_activity;cell_fate_specification;Notch_signaling_pathway;membrane_protein_ectodomain_proteolysis;integrin-mediated_signaling_pathway;membrane;metal_ion_binding;peptidase_activity;metallopeptidase_activity;proteolysis
WBGene00000079	adr-1	Adenosine_Deaminase_acting_on_RNA	protein_coding	I	7773416	7777577	+	H15N14.1c;H15N14.1d;H15N14.1e;H15N14.1f;H15N14.1g	7773418;7773434;7773416	7777577;7774650	172542	NM_059752;NM_059753;NM_182001;NM_182003	nucleus;RNA_binding;adenosine_deaminase_activity;RNA_processing;cytosolic_ribosome;adenosine_to_inosine_editing
WBGene00000080	adr-2	Probable_double-stranded_RNA-specific_adenosine_deaminase	protein_coding	III	7230964	7232882	-	T20H4.4	7230964	7232882	176022	NM_066193	cytoplasm;metal_ion_binding;nucleus;RNA_binding;adenosine_deaminase_activity;mRNA_processing;adenosine_to_inosine_editing;hydrolase_activity;RNA_processing
WBGene00000081	ads-1	Alkyldihydroxyacetonephosphate_synthase	protein_coding	III	295647	298556	-	Y50D7A.7	295647	298556	175192	NM_064784	peroxisome;FAD_binding;oxidoreductase_activity,_acting_on_CH-OH_group_of_donors;alkylglycerone-phosphate_synthase_activity;ether_lipid_biosynthetic_process;oxidation-reduction_process;transferase_activity;catalytic_activity;oxidoreductase_activity;flavin_adenine_dinucleotide_binding;lipid_metabolic_process;lipid_biosynthetic_process
WBGene00000083	adt-2	ADAMTS_family	protein_coding	X	7585587	7595489	+	F08C6.1a.1;F08C6.1a.2;F08C6.1b;F08C6.1c.1;F08C6.1c.2	7586110;7585587;7593413	7595489;7593814	181022	NM_001029361;NM_001029363	zinc_ion_binding;metalloendopeptidase_activity;positive_regulation_of_multicellular_organism_growth;determination_of_adult_lifespan;regulation_of_cell_size;collagen_fibril_organization;metal_ion_binding;peptidase_activity;proteolysis;metallopeptidase_activity
WBGene00000084	aex-1	AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein;AEX-1;_Uncharacterized_protein	protein_coding	I	7602311	7608245	+	D2030.10a;D2030.10b	7602311;7602324	7608184;7608245	172519	NM_170901;NM_001025903	defecation;intracellular;locomotion;cytosol;male_mating_behavior;presynapse;protein_localization_to_synapse;synaptic_vesicle_exocytosis;oviposition;signal_transducer_activity;positive_regulation_of_acetylcholine_secretion,_neurotransmission;synapse;regulation_of_muscle_contraction;signal_transduction;lipid_transport_involved_in_lipid_storage;positive_regulation_of_intestinal_lipid_absorption;positive_regulation_of_defecation;positive_regulation_of_triglyceride_transport;exocytosis
WBGene00000085	aex-2	AEX-2;_Uncharacterized_protein;AEX-2;_Uncharacterized_protein;AEX-2;_Uncharacterized_protein;AEX-2;_Uncharacterized_protein;AEX-2;_Uncharacterized_protein;AEX-2;_Uncharacterized_protein;AEX-2;_Uncharacterized_protein;AEX-2;_Uncharacterized_protein;AEX-2;_Uncharacterized_protein;AEX-2;_Uncharacterized_protein;AEX-2;_Uncharacterized_protein;AEX-2;_Uncharacterized_protein;AEX-2;_Uncharacterized_protein;AEX-2;_Uncharacterized_protein;AEX-2;_Uncharacterized_protein;AEX-2;_Uncharacterized_protein	protein_coding	X	9650999	9653116	-	T14B1.2	9650999	9653116	188491	NM_077225	integral_component_of_membrane;neuropeptide_signaling_pathway;neuropeptide_receptor_activity;positive_regulation_of_defecation;membrane;plasma_membrane;signal_transducer_activity;G-protein_coupled_receptor_activity;signal_transduction;G-protein_coupled_receptor_signaling_pathway;cell_projection;cilium;lipid_transport_involved_in_lipid_storage;positive_regulation_of_intestinal_lipid_absorption;positive_regulation_of_triglyceride_transport;regulation_of_defecation
WBGene00000086	aex-3	MAP_kinase-activating_death_domain_protein	protein_coding	X	751211	759732	-	C02H7.3a;C02H7.3b	751211;752711	759732	180420	NM_171618;NM_001029171	defecation;cell;cytoplasm;membrane;chemical_synaptic_transmission;oviposition;apoptotic_process;positive_regulation_of_acetylcholine_secretion,_neurotransmission;mating;Rab_guanyl-nucleotide_exchange_factor_activity;positive_regulation_of_GTPase_activity;guanyl-nucleotide_exchange_factor_activity;lipid_transport_involved_in_lipid_storage;positive_regulation_of_intestinal_lipid_absorption;positive_regulation_of_defecation
WBGene00000088	aex-5	?	protein_coding	I	14850070	14855827	-	F32A7.6	14850070	14855827	173358	NM_061193	defecation;serine-type_endopeptidase_activity;locomotion;protein_localization_to_synapse;hydrolase_activity;peptidase_activity;proteolysis;extracellular_region;lipid_transport_involved_in_lipid_storage;positive_regulation_of_intestinal_lipid_absorption;positive_regulation_of_defecation;positive_regulation_of_triglyceride_transport;regulation_of_defecation;serine-type_peptidase_activity;positive_regulation_of_synaptic_growth_at_neuromuscular_junction;neuropeptide_processing;positive_regulation_of_locomotion;extracellular_space;positive_regulation_of_defecation_rhythm
WBGene00000089	aex-6	Rab27;_Uncharacterized_protein;Rab27;_Uncharacterized_protein;Rab27;_Uncharacterized_protein;Rab27;_Uncharacterized_protein;Rab27;_Uncharacterized_protein;Rab27;_Uncharacterized_protein;Rab27;_Uncharacterized_protein;Rab27;_Uncharacterized_protein;Rab27;_Uncharacterized_protein;Rab27;_Uncharacterized_protein;Rab27;_Uncharacterized_protein;Rab27;_Uncharacterized_protein;Rab27;_Uncharacterized_protein	protein_coding	I	13543094	13545188	-	Y87G2A.4	13543094	13545188	173223	?	GTPase_activity;GTP_binding;small_GTPase_mediated_signal_transduction;synaptic_vesicle;dense_core_granule_exocytosis;positive_regulation_of_exocytosis;secretory_granule;positive_regulation_of_cellular_protein_catabolic_process;vesicle_tethering_involved_in_exocytosis;melanosome;melanosome_transport;positive_regulation_of_defecation
WBGene00000090	age-1	Phosphatidylinositol_3-kinase_age-1	protein_coding	II	11519499	11527062	-	B0334.8a;B0334.8b	11519499;11519511	11527062;11520646	174762	NM_064061	ATP_binding;cytoplasm;embryo_development_ending_in_birth_or_egg_hatching;plasma_membrane;dauer_larval_development;chemotaxis;chemosensory_behavior;determination_of_adult_lifespan;response_to_oxidative_stress;regulation_of_chemotaxis;phosphatidylinositol_3-kinase_complex;reproduction;response_to_salt;response_to_cadmium_ion;dauer_entry;1-phosphatidylinositol-3-kinase_activity;phosphatidylinositol-mediated_signaling;insulin_receptor_signaling_pathway_involved_in_determination_of_adult_lifespan;aging;learning_or_memory;phosphatidylinositol-4,5-bisphosphate_3-kinase_activity;1-phosphatidylinositol-4-phosphate_3-kinase_activity;kinase_activity;phosphorylation;nucleotide_binding;transferase_activity;innate_immune_response;phosphatidylinositol_phosphorylation;cellular_response_to_salt;protein_binding;non-motile_cilium;protein_phosphorylation;phosphatidylinositol-3-phosphate_biosynthetic_process;regulation_of_synaptic_growth_at_neuromuscular_junction;adaptive_immune_response;phosphatidylinositol_3-kinase_signaling;cell_chemotaxis;intracellular
WBGene00000092	ags-3	Activator_of_G_protein_Signalling	protein_coding	X	5289728	5298040	-	F32A6.4a;F32A6.4b;F32A6.4c	5289728;5297597	5298040;5298039;5298026	180801	NM_171684;NM_171951	membrane;GTPase_activator_activity;regulation_of_feeding_behavior;G-protein_alpha-subunit_binding;positive_regulation_of_GTPase_activity;protein_binding;regulation_of_catalytic_activity;GDP-dissociation_inhibitor_activity;regulation_of_G-protein_coupled_receptor_protein_signaling_pathway;GTPase_regulator_activity
